workout_date,workout_type,title,notes,source_file,record_index,timestamp,elapsed_seconds,distance_m,heart_rate,power,cadence,speed,altitude,latitude,longitude
2026-05-06,Walking,A Walk to dentist,"I like walking especially to move around the city. Of course I can not go for two-three hours long walk during workdays. This one was an exception. I left just before lunch time to visit my new dentist for some treatment. Since I am new to the city, I thought its good to utilize the time and explore the place as well.

The visit was ok and everything went well.",2026-05-06_11-59-04_hk_1778061544.fit,1,2026-05-06T09:59:08.000Z,0.000,3.99,,,40,,,,
2026-05-06,Walking,A Walk to dentist,"I like walking especially to move around the city. Of course I can not go for two-three hours long walk during workdays. This one was an exception. I left just before lunch time to visit my new dentist for some treatment. Since I am new to the city, I thought its good to utilize the time and explore the place as well.

The visit was ok and everything went well.",2026-05-06_11-59-04_hk_1778061544.fit,2,2026-05-06T09:59:11.000Z,3.000,7.52,,,40,,,,
2026-05-06,Walking,A Walk to dentist,"I like walking especially to move around the city. Of course I can not go for two-three hours long walk during workdays. This one was an exception. I left just before lunch time to visit my new dentist for some treatment. Since I am new to the city, I thought its good to utilize the time and explore the place as well.

The visit was ok and everything went well.",2026-05-06_11-59-04_hk_1778061544.fit,3,2026-05-06T09:59:14.000Z,6.000,11.06,,,40,,,,
2026-05-06,Walking,A Walk to dentist,"I like walking especially to move around the city. Of course I can not go for two-three hours long walk during workdays. This one was an exception. I left just before lunch time to visit my new dentist for some treatment. Since I am new to the city, I thought its good to utilize the time and explore the place as well.

The visit was ok and everything went well.",2026-05-06_11-59-04_hk_1778061544.fit,4,2026-05-06T09:59:17.000Z,9.000,14.59,,,40,,,,
2026-05-06,Walking,A Walk to dentist,"I like walking especially to move around the city. Of course I can not go for two-three hours long walk during workdays. This one was an exception. I left just before lunch time to visit my new dentist for some treatment. Since I am new to the city, I thought its good to utilize the time and explore the place as well.

The visit was ok and everything went well.",2026-05-06_11-59-04_hk_1778061544.fit,5,2026-05-06T09:59:20.000Z,12.000,18.12,,,40,,,,
2026-05-06,Walking,A Walk to dentist,"I like walking especially to move around the city. Of course I can not go for two-three hours long walk during workdays. This one was an exception. I left just before lunch time to visit my new dentist for some treatment. Since I am new to the city, I thought its good to utilize the time and explore the place as well.

The visit was ok and everything went well.",2026-05-06_11-59-04_hk_1778061544.fit,6,2026-05-06T09:59:23.000Z,15.000,21.66,,,40,,,,
2026-05-06,Walking,A Walk to dentist,"I like walking especially to move around the city. Of course I can not go for two-three hours long walk during workdays. This one was an exception. I left just before lunch time to visit my new dentist for some treatment. Since I am new to the city, I thought its good to utilize the time and explore the place as well.

The visit was ok and everything went well.",2026-05-06_11-59-04_hk_1778061544.fit,7,2026-05-06T09:59:26.000Z,18.000,25.19,,,40,,,,
2026-05-06,Walking,A Walk to dentist,"I like walking especially to move around the city. Of course I can not go for two-three hours long walk during workdays. This one was an exception. I left just before lunch time to visit my new dentist for some treatment. Since I am new to the city, I thought its good to utilize the time and explore the place as well.

The visit was ok and everything went well.",2026-05-06_11-59-04_hk_1778061544.fit,8,2026-05-06T09:59:29.000Z,21.000,28.72,,,40,,,,
2026-05-06,Walking,A Walk to dentist,"I like walking especially to move around the city. Of course I can not go for two-three hours long walk during workdays. This one was an exception. I left just before lunch time to visit my new dentist for some treatment. Since I am new to the city, I thought its good to utilize the time and explore the place as well.

The visit was ok and everything went well.",2026-05-06_11-59-04_hk_1778061544.fit,9,2026-05-06T09:59:30.000Z,22.000,29.9,,,40,,,,
2026-05-06,Walking,A Walk to dentist,"I like walking especially to move around the city. Of course I can not go for two-three hours long walk during workdays. This one was an exception. I left just before lunch time to visit my new dentist for some treatment. Since I am new to the city, I thought its good to utilize the time and explore the place as well.

The visit was ok and everything went well.",2026-05-06_11-59-04_hk_1778061544.fit,10,2026-05-06T09:59:32.000Z,24.000,31.01,,,40,,,,
