workout_date,workout_type,title,notes,source_file,record_index,timestamp,elapsed_seconds,distance_m,heart_rate,power,cadence,speed,altitude,latitude,longitude
2026-05-10,training,Stretching and Yoga,Happy. Happy. Happy.,2026-05-10_11-02-13_hk_1778403733.fit,1,2026-05-10T09:03:00.000Z,0.000,,125,,,,,,
2026-05-10,training,Stretching and Yoga,Happy. Happy. Happy.,2026-05-10_11-02-13_hk_1778403733.fit,2,2026-05-10T09:03:02.000Z,2.000,,125,,,,,,
2026-05-10,training,Stretching and Yoga,Happy. Happy. Happy.,2026-05-10_11-02-13_hk_1778403733.fit,3,2026-05-10T09:03:04.000Z,4.000,,125,,,,,,
2026-05-10,training,Stretching and Yoga,Happy. Happy. Happy.,2026-05-10_11-02-13_hk_1778403733.fit,4,2026-05-10T09:03:05.000Z,5.000,,129,,,,,,
2026-05-10,training,Stretching and Yoga,Happy. Happy. Happy.,2026-05-10_11-02-13_hk_1778403733.fit,5,2026-05-10T09:03:07.000Z,7.000,,129,,,,,,
2026-05-10,training,Stretching and Yoga,Happy. Happy. Happy.,2026-05-10_11-02-13_hk_1778403733.fit,6,2026-05-10T09:03:09.000Z,9.000,,128,,,,,,
2026-05-10,training,Stretching and Yoga,Happy. Happy. Happy.,2026-05-10_11-02-13_hk_1778403733.fit,7,2026-05-10T09:03:12.000Z,12.000,,128,,,,,,
2026-05-10,training,Stretching and Yoga,Happy. Happy. Happy.,2026-05-10_11-02-13_hk_1778403733.fit,8,2026-05-10T09:03:15.000Z,15.000,,128,,,,,,
2026-05-10,training,Stretching and Yoga,Happy. Happy. Happy.,2026-05-10_11-02-13_hk_1778403733.fit,9,2026-05-10T09:03:17.000Z,17.000,,128,,,,,,
2026-05-10,training,Stretching and Yoga,Happy. Happy. Happy.,2026-05-10_11-02-13_hk_1778403733.fit,10,2026-05-10T09:03:20.000Z,20.000,,128,,,,,,
2026-05-10,training,Stretching and Yoga,Happy. Happy. Happy.,2026-05-10_11-02-13_hk_1778403733.fit,11,2026-05-10T09:03:21.000Z,21.000,,129,,,,,,
2026-05-10,training,Stretching and Yoga,Happy. Happy. Happy.,2026-05-10_11-02-13_hk_1778403733.fit,12,2026-05-10T09:03:22.000Z,22.000,,129,,,,,,
2026-05-10,training,Stretching and Yoga,Happy. Happy. Happy.,2026-05-10_11-02-13_hk_1778403733.fit,13,2026-05-10T09:03:25.000Z,25.000,,129,,,,,,
2026-05-10,training,Stretching and Yoga,Happy. Happy. Happy.,2026-05-10_11-02-13_hk_1778403733.fit,14,2026-05-10T09:03:27.000Z,27.000,,127,,,,,,
2026-05-10,training,Stretching and Yoga,Happy. Happy. Happy.,2026-05-10_11-02-13_hk_1778403733.fit,15,2026-05-10T09:03:30.000Z,30.000,,127,,,,,,
2026-05-10,training,Stretching and Yoga,Happy. Happy. Happy.,2026-05-10_11-02-13_hk_1778403733.fit,16,2026-05-10T09:03:32.000Z,32.000,,124,,,,,,
2026-05-10,training,Stretching and Yoga,Happy. Happy. Happy.,2026-05-10_11-02-13_hk_1778403733.fit,17,2026-05-10T09:03:35.000Z,35.000,,124,,,,,,
2026-05-10,training,Stretching and Yoga,Happy. Happy. Happy.,2026-05-10_11-02-13_hk_1778403733.fit,18,2026-05-10T09:03:38.000Z,38.000,,124,,,,,,
2026-05-10,training,Stretching and Yoga,Happy. Happy. Happy.,2026-05-10_11-02-13_hk_1778403733.fit,19,2026-05-10T09:03:40.000Z,40.000,,124,,,,,,
2026-05-10,training,Stretching and Yoga,Happy. Happy. Happy.,2026-05-10_11-02-13_hk_1778403733.fit,20,2026-05-10T09:03:41.000Z,41.000,,123,,,,,,
2026-05-10,training,Stretching and Yoga,Happy. Happy. Happy.,2026-05-10_11-02-13_hk_1778403733.fit,21,2026-05-10T09:03:43.000Z,43.000,,123,,,,,,
2026-05-10,training,Stretching and Yoga,Happy. Happy. Happy.,2026-05-10_11-02-13_hk_1778403733.fit,22,2026-05-10T09:03:45.000Z,45.000,,123,,,,,,
2026-05-10,training,Stretching and Yoga,Happy. Happy. Happy.,2026-05-10_11-02-13_hk_1778403733.fit,23,2026-05-10T09:03:46.000Z,46.000,,121,,,,,,
2026-05-10,training,Stretching and Yoga,Happy. Happy. Happy.,2026-05-10_11-02-13_hk_1778403733.fit,24,2026-05-10T09:03:48.000Z,48.000,,121,,,,,,
2026-05-10,training,Stretching and Yoga,Happy. Happy. Happy.,2026-05-10_11-02-13_hk_1778403733.fit,25,2026-05-10T09:03:50.000Z,50.000,,121,,,,,,
2026-05-10,training,Stretching and Yoga,Happy. Happy. Happy.,2026-05-10_11-02-13_hk_1778403733.fit,26,2026-05-10T09:03:51.000Z,51.000,,121,,,,,,
2026-05-10,training,Stretching and Yoga,Happy. Happy. Happy.,2026-05-10_11-02-13_hk_1778403733.fit,27,2026-05-10T09:03:53.000Z,53.000,,121,,,,,,
2026-05-10,training,Stretching and Yoga,Happy. Happy. Happy.,2026-05-10_11-02-13_hk_1778403733.fit,28,2026-05-10T09:03:56.000Z,56.000,,121,,,,,,
2026-05-10,training,Stretching and Yoga,Happy. Happy. Happy.,2026-05-10_11-02-13_hk_1778403733.fit,29,2026-05-10T09:03:58.000Z,58.000,,121,,,,,,
2026-05-10,training,Stretching and Yoga,Happy. Happy. Happy.,2026-05-10_11-02-13_hk_1778403733.fit,30,2026-05-10T09:03:59.000Z,59.000,,119,,,,,,
2026-05-10,training,Stretching and Yoga,Happy. Happy. Happy.,2026-05-10_11-02-13_hk_1778403733.fit,31,2026-05-10T09:04:01.000Z,61.000,,119,,,,,,
2026-05-10,training,Stretching and Yoga,Happy. Happy. Happy.,2026-05-10_11-02-13_hk_1778403733.fit,32,2026-05-10T09:04:03.000Z,63.000,,119,,,,,,
2026-05-10,training,Stretching and Yoga,Happy. Happy. Happy.,2026-05-10_11-02-13_hk_1778403733.fit,33,2026-05-10T09:04:06.000Z,66.000,,120,,,,,,
